,month,well_name,bhp,bht,dp_tubing,AVG_ANNULUS_PRESS,AVG_CHOKE_SIZE_P,whp,wht,choke_size_percentage,oil_rate,prod_hrs,oil_vol,gas_vol,water_vol
91,May 2010,5351,241.49638727182887,106.63972895169047,193.67724652694156,0.0,64.79897574500768,47.81914074488731,91.48599760671004,14.325516074035129,2846.252123924469,14955.377445,2124877.91,300331853.34000003,531575.6749999999
92,June 2010,5351,250.51526351130025,106.71886274174834,201.17861010952467,0.0,62.645916791075656,49.33665340177553,92.61367892686484,15.99502007038064,2517.5349469775683,15673.127445,2200187.73,311088430.14000005,628156.595
93,July 2010,5351,255.4594962753074,106.55219748942277,202.19270020021497,0.0,53.9900303006662,53.26679607509242,92.00074872017385,19.920913141419962,2248.344801572712,16415.544115,2269787.98,321161964.49000007,729372.945
94,August 2010,5351,254.89046309502035,106.42190189139797,202.86283162542662,0.0,54.17025383830068,52.02763146959372,92.09296526318309,19.131874212790986,2160.9434968007863,16840.644115,2308201.71,326705216.77000004,785825.845
95,September 2010,5351,254.50643073709395,106.23775885337483,196.68217747289387,0.0,44.304268179783016,57.82425326420007,88.47889036638733,25.421152309781572,2268.8695628112187,17406.794105,2363606.92,334965768.96000004,852332.665
96,October 2010,5351,243.17798777334227,106.2425617226349,196.3964112140247,0.0,61.01191766145047,46.781576559317564,90.26420180551135,14.283224347095576,2543.307301860676,18148.960765,2442362.23,346819615.54,953281.805
97,November 2010,5351,241.06298316586694,105.99772030595302,198.06624480223266,0.0,82.28391987630245,42.996738363634286,89.83857696232245,10.483163902929823,2192.2915117393522,18832.377435,2504917.71,356304964.22,1050251.7850000001
98,December 2010,5351,242.26035414026052,105.77344717850858,201.2816672582422,0.0,98.45594754518417,40.978686882018316,90.23024608400628,9.307167749672981,2067.3797428705,19573.877435,2568803.94,366068123.75,1161892.245
99,January 2011,5351,241.80117811113016,105.19177462794555,202.61500712351295,0.0,99.73118279569891,39.18617098761725,90.62272817518875,9.328602192719059,1978.3370967741935,20317.877435,2630132.39,375421328.16,1273060.2650000001
100,February 2011,5351,241.02512122077323,105.0433059433704,201.07471104834246,0.0,93.93312656729057,39.95041017243073,86.96341277201184,9.866044149106752,1871.2156385782396,20879.377435,2674198.7,382251437.75,1352552.395
101,March 2011,5351,243.68077762011387,104.60531686920827,204.30391395743382,0.0,82.42328541812763,39.37686366268005,89.57692375849636,9.631095152240201,1852.0737556490571,21611.877435,2730908.66,390985192.72,1470050.625
102,April 2011,5351,245.76471064773932,104.3668526423886,204.71886382219552,0.0,62.6665474459541,41.045846825543826,89.88238166636974,10.92853336678371,1732.4117547050905,22329.544104999997,2782722.9000000004,399037435.6,1592104.225
103,May 2011,5351,247.0742762464183,104.01749377374236,206.47393267613617,0.0,62.685453173186914,40.60034357028214,89.48435509536733,10.552037530769052,1654.6476710547265,23070.794104999997,2833844.5200000005,407010363.28000003,1721436.0850000002
104,June 2011,5351,247.08789023708346,103.7544629981023,207.89619865717606,0.0,68.10786090416667,39.19169157990741,90.85227000252821,9.55768525348654,1616.6220150639908,23535.969104999996,2865039.0300000003,411846275.43,1802694.8550000002
105,July 2011,5351,248.9014059934201,103.34479937670747,201.33716006168171,0.0,54.27715619985492,47.56424593173838,80.88154539155796,16.719672978269525,1883.1253458950293,23790.477434999997,2885250.3400000003,414910841.36,1844706.985
106,August 2011,5351,246.35024361689813,103.38012709718014,201.14391772655839,0.0,53.08808273148072,45.20632589033977,88.32647232702956,14.675800739996333,1838.0225896516042,24442.802434999998,2934980.62,422592449.25,1953641.7550000001
107,September 2011,5351,244.74371769077607,103.25225230207964,205.43330198584619,0.0,76.81276914919356,39.31041570492989,88.82536233641713,9.053591501847656,1733.243333333333,25150.802434999998,2986033.75,430613833.43,2087599.3650000002
108,October 2011,5351,246.04734211690817,103.10921070604155,208.32227982317525,0.0,87.14671888888888,37.725062293732954,89.40301081198955,7.822535097646367,1606.1839073324898,25477.877425,3007840.98,434020171.83,2144087.2350000003
109,November 2011,5351,243.39665284639554,102.8921318238465,201.0707850281206,0.0,65.30977023809524,42.32586781827493,84.39689419695048,11.52973852634591,1816.772896684271,25942.185755,3042884.87,439401409.40999997,2217673.6250000005
110,December 2011,5351,244.01825839063076,102.75397002160283,202.7682146419685,0.0,56.85986272569445,41.250043748662215,84.35415236192028,11.233401867946862,1846.4630044431508,26378.835765,3077051.27,444544322.74999994,2292071.4050000003
111,January 2012,5351,246.9703343241502,102.82478286551606,199.39794236432505,0.0,60.04440173245614,47.57239195982516,77.92795455956089,15.589444040203926,1653.0767683090298,26742.652435,3104360.5,448700481.46999997,2349589.785
112,February 2012,5351,220.38971518599308,105.06399729191644,179.0025190768278,0.0,39.50808424568966,41.38719610916525,84.60323440725584,10.328568370034258,1274.7424607683133,27435.319095,3141158.16,454299040.4,2404865.625
113,March 2012,5351,226.39169314264115,104.00664822242707,185.76108338169126,0.0,49.015910594173675,40.63060976094988,84.34610723068911,9.380369293510922,1124.6546214040923,28176.152435,3175903.75,459677229.07,2465091.535
114,April 2012,5351,221.09750643646572,103.44864717080378,187.21396670020687,0.0,99.93055555555556,33.88353973625887,86.21513374246454,3.199360725620567,1216.993,28896.152435,3212413.54,465350458.89,2537902.7750000004
115,May 2012,5351,226.61791435477667,102.74486954685244,193.64491731057774,0.0,99.05572200940861,32.97299704419891,85.84112383951019,3.4870846697850397,1134.5850186012947,29637.235775,3247465.5,470845846.82,2620780.0850000004
116,June 2012,5351,229.48164708710144,102.33185043932023,196.20969479979541,0.0,98.62692039583334,33.27195228730601,85.54643063244846,3.4681760481416024,1067.2052687334865,30348.402445,3279131.05,475826258.09999996,2700964.2850000006
117,July 2012,5351,230.07876220101235,102.05937064687714,197.58576950426104,4.582349462365591,99.93279569892472,32.492992696751315,85.9498196155056,3.126774015671471,1063.2483870967742,31092.402445,3312091.75,481007520.58,2784933.8450000007
